"Park","Year","Annual_Visits","price_per_gal"
"ACAD",1994,"2,710,749",1.078
"ACAD",1995,"2,845,378",1.158
"ACAD",1996,"2,704,831",1.245
"ACAD",1997,"2,760,306",1.244
"ACAD",1998,"2,594,497",1.072
"ACAD",1999,"2,602,227",1.176
"ACAD",2000,"2,469,238",1.523
"ACAD",2001,"2,516,551",1.46
"ACAD",2002,"2,558,572",1.386
"ACAD",2003,"2,431,062",1.603
"ACAD",2004,"2,207,847",1.895
"ACAD",2005,"2,051,484",2.314
"ACAD",2006,"2,083,588",2.618
"ACAD",2007,"2,202,228",2.843
"ACAD",2008,"2,075,857",3.299
"ACAD",2009,"2,227,698",2.406
"ACAD",2010,"2,504,208",2.835
"ACAD",2011,"2,374,645",3.576
"ACAD",2012,"2,431,052",3.68
"ACAD",2013,"2,254,922",3.575
"ACAD",2014,"2,563,129",3.437
"ACAD",2015,"2,811,184",2.52
"ACAD",2016,"3,303,393",2.25
"ACAD",2017,"3,509,271",2.528
"ACAD",2018,"3,537,575",2.813
"ACAD",2019,"3,437,286",2.691
"ACAD",2020,"2,669,034",2.258
"ACAD",2021,"4,069,098",3.1
"ACAD",2022,"3,970,260",4.059
"ACAD",2023,"3,879,890",3.635
"ACAD",2024,"3,961,661",3.424
