"","Plot_Name","Network","ParkUnit","PlotCode","SampleDate","IsQAQC","SampleYear","TagCode","TSN","ScientificName","DBHcm","TreeStatusCode","CrownClassLabel","DecayClassCode"
"1","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,1,18034,"Picea rubens",12,"DS",NA,"3"
"2","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,2,18034,"Picea rubens",13.9,"AS","Co-dominant",NA
"3","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,3,18034,"Picea rubens",18.3,"AS","Co-dominant",NA
"4","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,4,18034,"Picea rubens",15,"DS",NA,"4"
"5","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,5,18034,"Picea rubens",10.9,"AS","Intermediate",NA
"6","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,6,18034,"Picea rubens",17.6,"AS","Co-dominant",NA
"7","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,7,18034,"Picea rubens",12.3,"DS",NA,"1"
"8","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,8,18034,"Picea rubens",15.5,"AS","Co-dominant",NA
"9","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,9,18034,"Picea rubens",11.7,"DS",NA,"3"
"10","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,10,18034,"Picea rubens",16.3,"DS",NA,"1"
"11","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,11,18034,"Picea rubens",25.8,"AS","Co-dominant",NA
"12","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,12,18034,"Picea rubens",23,"AS","Co-dominant",NA
"13","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,13,18034,"Picea rubens",15.9,"AS","Co-dominant",NA
"14","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,14,18034,"Picea rubens",20.2,"AS","Co-dominant",NA
"15","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,15,18034,"Picea rubens",22.3,"AS","Co-dominant",NA
"16","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,16,18034,"Picea rubens",18,"AS","Co-dominant",NA
"17","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,17,18034,"Picea rubens",NA,"XP",NA,NA
"18","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,18,18034,"Picea rubens",23.4,"AS","Co-dominant",NA
"19","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,19,18034,"Picea rubens",15,"DS",NA,"3"
"20","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,20,18034,"Picea rubens",29.3,"AS","Co-dominant",NA
"21","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,21,18034,"Picea rubens",29.7,"AS","Co-dominant",NA
"22","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,22,18034,"Picea rubens",11.3,"DS",NA,"3"
"23","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,23,18034,"Picea rubens",18.3,"AS","Co-dominant",NA
"24","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,24,18034,"Picea rubens",16.6,"AS","Co-dominant",NA
"25","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,25,18034,"Picea rubens",18.4,"DS",NA,"2"
"26","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,26,18034,"Picea rubens",NA,"XP",NA,NA
"27","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,27,18034,"Picea rubens",26.5,"AS","Dominant",NA
"28","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,28,18034,"Picea rubens",17.6,"AS","Co-dominant",NA
"29","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,29,18034,"Picea rubens",24.3,"AS","Co-dominant",NA
"30","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,30,18034,"Picea rubens",23.6,"AS","Co-dominant",NA
"31","ACAD-001","NETN","ACAD",1,"6/6/2006",FALSE,2006,31,18034,"Picea rubens",19.5,"AS","Dominant",NA
"32","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,1,18034,"Picea rubens",12.5,"DB",NA,"2"
"33","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,2,18034,"Picea rubens",14.1,"AS","Co-dominant",NA
"34","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,3,18034,"Picea rubens",18.7,"AS","Co-dominant",NA
"35","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,4,18034,"Picea rubens",NA,"DF",NA,NA
"36","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,5,18034,"Picea rubens",10.8,"DS",NA,"1"
"37","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,6,18034,"Picea rubens",18.3,"AS","Co-dominant",NA
"38","ACAD-001","NETN","ACAD",1,"7/27/2010",FALSE,2010,7,18034,"Picea rubens",12.2,"DB",NA,"2"
